date,dayOfWeek,dayOfWeekNumber,minutesAsleep
7/21/2015,Tuesday,3,325
7/22/2015,Wednesday,4,358
7/23/2015,Thursday,5,441
7/24/2015,Friday,6,386
7/26/2015,Sunday,1,401
7/27/2015,Monday,2,352
7/28/2015,Tuesday,3,250
7/30/2015,Thursday,5,343
7/31/2015,Friday,6,389
8/1/2015,Saturday,7,458
8/2/2015,Sunday,1,332
8/4/2015,Tuesday,3,564
8/5/2015,Wednesday,4,552
8/6/2015,Thursday,5,378
8/7/2015,Friday,6,465
8/8/2015,Saturday,7,253
8/9/2015,Sunday,1,299
8/10/2015,Monday,2,362
8/11/2015,Tuesday,3,373
8/12/2015,Wednesday,4,278
8/13/2015,Thursday,5,384
8/14/2015,Friday,6,493
8/17/2015,Monday,2,368
8/18/2015,Tuesday,3,277
8/20/2015,Thursday,5,382
8/21/2015,Friday,6,296
8/22/2015,Saturday,7,344
8/23/2015,Sunday,1,503
8/24/2015,Monday,2,520
8/25/2015,Tuesday,3,380
8/26/2015,Wednesday,4,339
8/28/2015,Friday,6,364
8/29/2015,Saturday,7,340
8/30/2015,Sunday,1,492
9/1/2015,Tuesday,3,389
9/2/2015,Wednesday,4,426
9/3/2015,Thursday,5,362
9/4/2015,Friday,6,389
9/5/2015,Saturday,7,455
9/6/2015,Sunday,1,361
9/7/2015,Monday,2,381
9/8/2015,Tuesday,3,395
9/9/2015,Wednesday,4,302
9/10/2015,Thursday,5,343
9/11/2015,Friday,6,292
9/12/2015,Saturday,7,416
9/13/2015,Sunday,1,419
9/14/2015,Monday,2,327
9/15/2015,Tuesday,3,344
